id,question,correctAnswerSample,output,explanation,hint,img_src,difficulties,times,hints
36,"أكتب برنامج مهمته رسم الشكل التالي بواسطة الحلقات.
	عند تشغيل البرنامج, يجب أن يطلب من المستخدم إدخال عدد أسطر الشكل الذي سيتم رسمه.
إنتبه: يجب أن يدخل المستخدم عدد أكبر من صفر, لأن عدد الأسطر لا يمكن أن يكون صفر أو أقل من صفر.","
#include <iostream>

int main() {

	int n;

	do
	{
		std::cout << ""Enter the number of lines: "";
		std::cin >> n;
	}
	while (n <= 0);

	for (int i = 1; i <= n; i++)
	{
		for (int k = 1; k <= n - i; k++)
		{
			std::cout << "" "";
		}
		for (int j = 1; j <= i; j++)
		{
			std::cout << ""*"";
		}
		std::cout << ""\n"";
	}

	char end; std::cin >> end;
	return 0;

}
		","
Enter the number of lines: 5
    *
   **
  ***
 ****
*****
		",سنحصل على النتيجة التالية إذا قام المستخدم بإدخال الرقم 5  عند التشغيل.,,https://harmash.com//tutorials/algorithms-and-data-structure/drawing-test-1/ex-2-solution-using-cpp/b9f9f9a1-3815-4814-8dbc-dc0ded671fc1_ex-2.PNG,"[{'difficulty': '62.852', 'project': 36}]","[{'time': '40.176', 'project': 36}]","[{'required_concept_hint': ""{'الحلقات': 32.3771, 'أنواع البيانات': 35.161, 'الأساسيات': 35.161}"", 'project': 36}]"
37,"أكتب برنامج مهمته رسم الشكل التالي بواسطة الحلقات.
	عند تشغيل البرنامج, يجب أن يطلب من المستخدم إدخال عدد أسطر الشكل الذي سيتم رسمه.
إنتبه: يجب أن يدخل المستخدم عدد أكبر من صفر, لأن عدد الأسطر لا يمكن أن يكون صفر أو أقل من صفر.","
#include <iostream>

int main() {

	int n;

	do
	{
		std::cout << ""Enter the number of lines: "";
		std::cin >> n;
	}
	while (n <= 0);

	for (int i = 1; i <= n; i++)
	{
		for (int k = 1; k < i; k++)
		{
			std::cout << "" "";
		}

		for (int j = 1; j <= n + 1 - i; j++)
		{
			std::cout << ""*"";
		}

		std::cout << ""\n"";
	}

	char end; std::cin >> end;
	return 0;

}
		","
Enter the number of lines: 5
*****
 ****
  ***
   **
    *
		",سنحصل على النتيجة التالية إذا قام المستخدم بإدخال الرقم 5  عند التشغيل.,,https://harmash.com//tutorials/algorithms-and-data-structure/drawing-test-1/ex-4-solution-using-cpp/06da100f-9cd5-4731-8215-10463402ca21_ex-4.PNG,"[{'difficulty': '62.852', 'project': 37}]","[{'time': '40.176', 'project': 37}]","[{'required_concept_hint': ""{'الحلقات': 33.0094, 'أنواع البيانات': 35.7566, 'الأساسيات': 35.7566}"", 'project': 37}]"
38,"قم بتعريف دالة إسمها ReverseString, عند استدعاءها نمرر لها نص, فترجعه معكوساً.
	بعدها قم بتجربة هذه الدالة في البرنامج مع جعل المستخدم هو يدخل النص الذي سيتم عرضه بشكل عكسي.","
#include <iostream>
#include <string>

std::string reverseString(std::string s)
{
	std::string newS = """";

	for (int i = 0; i < s.length(); i++)
	{
		newS = s[i] + newS;
	}

	return newS;
}

int main() {

	std::string text;

	std::cout << ""Enter any text: "";
	getline(std::cin, text);

	std::string reversedText = reverseString(text);

	std::cout << ""Reversed Text: "" << reversedText;

	char end; std::cin >> end;
	return 0;

}
		","
Enter any text:  I love programming
Reversed Text: gnimmargorp evol I
		",سنحصل على النتيجة التالية في حال تم إدخال نفس القيم التي تم تعليمها باللون الأصفر عند التشغيل.,مثال: إذا قمنا باستخدام الدالة ReverseString() و تمرير النص I love programming فمن المفترض أن ترجعه هكذا gnimmargorp evol I.,,"[{'difficulty': '62.852', 'project': 38}]","[{'time': '40.176', 'project': 38}]","[{'required_concept_hint': ""{'الحلقات': 33.6352, 'أنواع البيانات': 36.3458, 'الأساسيات': 36.3458, 'التعامل مع النصوص': 34.9172, 'المصفوفات': 24.7546, 'الدوال': 31.5839}"", 'project': 38}]"
39,"أكتب برنامج يطلب من المستخدم إعطائه عدد يمثل عدد عناصر مصفوفة إسمها arr و يخزنه في متغير إسمه n.
ملاحظة: عدد عناصر المصفوفة يجب أن يكون أكبر من صفر.
	بعدها ينشئ المصفوفة arr و يحدد أن عدد عناصرها هو العدد الذي أدخله المستخدم.
	بعدها يطلب من المستخدم إدخال عدد لكل عنصر فيها.
	في الأخير, يعرض للمستخدم متوسط هذه القيم.","
#include <iostream>

int main() {
	
	int n;
	double s = 0;
	double avg;
	double *arr;

	do
	{
		std::cout << ""Enter arr length: "";
		std::cin >> n;
	}
	while (n <= 0);

	arr = new double[n];

	for (int i = 0; i < n; i++)
	{
		std::cout << ""Enter arr["" << i << ""]: "";
		std::cin >> arr[i];
	}

	for (int i = 0; i < n; i++)
	{
		s += arr[i];
	}

	avg = s / n;

	std::cout << ""\nAverage = "" << avg << ""\n"";

	char end; std::cin >> end;
	return 0;

}
		","
Enter arr length: 4
Enter arr[0]: 2
Enter arr[1]: 6
Enter arr[2]: 9
Enter arr[3]: 5
Average = 5.5
		",سنحصل على النتيجة التالية في حال تم إدخال نفس القيم التي تم تعليمها باللون الأصفر عند التشغيل.,,,"[{'difficulty': '63.909', 'project': 39}]","[{'time': '46.955', 'project': 39}]","[{'required_concept_hint': ""{'الحلقات': 34.2551, 'أنواع البيانات': 36.9291, 'الأساسيات': 36.9291, 'المصفوفات': 26.4877}"", 'project': 39}]"
40,"أكتب برنامج يطلب من المستخدم إعطائه عدد صحيح أكبر من صفر و خزنه في المتغير n.
	بعدها يقوم بحساب القيمة النهائية التي سيتم تخزينها في المتغير s.","
#include <iostream>

int main() {

	int n = 0;
	int s = 0;
	int p;

	do
	{
		std::cout << ""Enter a number: "";
		std::cin >> n;
	}
	while (n <= 0);

	for (int i = 2; i <= n; i += 2)
	{
		p = 1;

		for (int j = 1; j <= i; j++)
		{
			p *= i;
		}

		s += p;
	}

	std::cout << ""S = "" << s;

	char end; std::cin >> end;
	return 0;

}
		","
Enter a number: 4
S = 260
		",سنحصل على النتيجة التالية إذا قام المستخدم بإدخال الرقم 4 عند التشغيل.,,https://harmash.com//tutorials/algorithms-and-data-structure/math-operations-test-6/ex-5-solution-using-cpp/dd52cec3-4d4a-4637-9e7f-b50d7eb43a8f_ex-5.PNG,"[{'difficulty': '64.153', 'project': 40}]","[{'time': '43.327', 'project': 40}]","[{'required_concept_hint': ""{'الحلقات': 34.8762, 'أنواع البيانات': 37.5136, 'الأساسيات': 37.5136}"", 'project': 40}]"
41,"أكتب برنامج يطلب من المستخدم إعطائه عدد صحيح أكبر من صفر و خزنه في المتغير n.
	بعدها يقوم بحساب القيمة النهائية التي سيتم تخزينها في المتغير s.","
#include <iostream>

int main() {

	int n = 0;
	int s = 0;
	int p;

	do
	{
		std::cout << ""Enter a number: "";
		std::cin >> n;
	}
	while (n <= 0);

	for (int i = 1; i <= n; i++)
	{
		p = 1;

		for (int j = 1; j <= i; j++)
		{
			p *= i;
		}

		s += p;
	}

	std::cout << ""S = "" << s;

	char end; std::cin >> end;
	return 0;

}
		","
Enter a number: 4
S = 288
		",سنحصل على النتيجة التالية إذا قام المستخدم بإدخال الرقم 4 عند التشغيل.,,https://harmash.com//tutorials/algorithms-and-data-structure/math-operations-test-6/ex-1-solution-using-cpp/ab095fac-aab4-41b1-b803-d53b41adabeb_ex-1.PNG,"[{'difficulty': '64.153', 'project': 41}]","[{'time': '43.327', 'project': 41}]","[{'required_concept_hint': ""{'الحلقات': 35.4935, 'أنواع البيانات': 38.0942, 'الأساسيات': 38.0942}"", 'project': 41}]"
42,"أكتب برنامج يطلب من المستخدم إعطائه عدد يمثل عدد عناصر مصفوفة إسمها arr و يخزنه في متغير إسمه n.
ملاحظة: عدد عناصر المصفوفة يجب أن يكون أكبر من صفر.
	بعدها ينشئ المصفوفة arr و يحدد أن عدد عناصرها هو العدد الذي أدخله المستخدم.
	بعدها يطلب من المستخدم إدخال عدد صحيح لكل عنصر فيها.
	في الأخير, سيعرض للمستخدم ناتج جمع جميع قيم عناصر المصفوفة.","
#include <iostream>

int main() {
	
	int n;
	int s = 0;
	int * arr;

	do {
		std::cout <<(""Enter arr length: "");
		std::cin >> n;
	}
	while (n <= 0);

	arr = new int[n];

	for (int i = 0; i < n; i++)
	{
		std::cout << ""Enter arr["" << i << ""]: "";
		std::cin >> arr[i];
	}

	for (int i = 0; i < n; i++)
	{
		s += arr[i];
	}

	std::cout << ""\nSum of all elements: "" << s;

	char end; std::cin >> end;
	return 0;

}
		","
Enter arr length: 4
Enter arr[0]: 2
Enter arr[1]: 7
Enter arr[2]: 5
Enter arr[3]: 3
Sum of all elements: 17
		",سنحصل على النتيجة التالية في حال تم إدخال نفس القيم التي تم تعليمها باللون الأصفر عند التشغيل.,,,"[{'difficulty': '64.410', 'project': 42}]","[{'time': '44.705', 'project': 42}]","[{'required_concept_hint': ""{'الحلقات': 36.1056, 'أنواع البيانات': 38.6697, 'الأساسيات': 38.6697, 'المصفوفات': 28.4258}"", 'project': 42}]"
43,"أكتب برنامج يطلب من المستخدم إعطائه عدد صحيح أكبر من صفر و خزنه في المتغير n.
	بعدها يقوم بحساب القيمة النهائية التي سيتم تخزينها في المتغير s.","
#include <iostream>

int main() {

	int n = 0;
	int s = 0;
	int f = 1;

	do
	{
		std::cout << ""Enter a number: "";
		std::cin >> n;
	}
	while (n <= 0);

	for (int i = 1; i <= n; i++)
	{
		f *= i;

		if (i % 2 == 0)
		{
			s += f;
		}
	}

	std::cout << ""S = "" << s;

	char end; std::cin >> end;
	return 0;

}
		","
Enter a number: 4
S = 26
		",سنحصل على النتيجة التالية إذا قام المستخدم بإدخال الرقم 4 عند التشغيل.,,https://harmash.com//tutorials/algorithms-and-data-structure/math-operations-test-5/ex-5-solution-using-cpp/10596520-cab1-4e08-8e0f-498198a959b0_ex-5.PNG,"[{'difficulty': '64.967', 'project': 43}]","[{'time': '42.483', 'project': 43}]","[{'required_concept_hint': ""{'الحلقات': 36.7146, 'الشروط': 27.0133, 'أنواع البيانات': 39.242, 'الأساسيات': 39.242}"", 'project': 43}]"
44,"أكتب برنامج مهمته رسم الشكل التالي بواسطة الحلقات.
	عند تشغيل البرنامج, يجب أن يطلب من المستخدم إدخال عدد أسطر و أعمدة الشكل الذي سيتم رسمه.
إنتبه: يجب أن يدخل المستخدم عددين أكبر من صفر, لأن عدد أسطر و أعمدة الرسمة لا يمكن أن يكون صفر أو أقل من صفر.","
#include <iostream>

int main() {

	int n;
	int m;


	do {
		std::cout << ""Enter the height: "";
		std::cin >> n;
	}
	while (n <= 0);
	
	do {
		std::cout << ""Enter the width: "";
		std::cin >> m;
	}
	while (m <= 0);

	for (int i = 1; i <= n; i++)
	{
		if (i == 1 || i == n)
		{
			for (int j = 1; j <= m; j++)
			{
				std::cout << ""*"";
			}
		}
		else
		{
			std::cout << ""*"";
			for (int k = 1; k < m - 1; k++)
			{
				std::cout << "" "";
			}
			std::cout << ""*"";
		}
		std::cout << ""\n"";
	}

	char end; std::cin >> end;
	return 0;

}
		","
Enter the height: 5
Enter the width: 10
**********
*        *
*        *
*        *
**********
		",سنحصل على النتيجة التالية إذا قام المستخدم بإدخال الرقم 5 كطول المستطيل و الرقم 10 كعرض المستطيل عند التشغيل.,,https://harmash.com//tutorials/algorithms-and-data-structure/drawing-test-3/ex-5-solution-using-cpp/234d40be-f74f-4281-bf4d-6809ce82ae0d_ex-5.PNG,"[{'difficulty': '65.427', 'project': 44}]","[{'time': '52.713', 'project': 44}]","[{'required_concept_hint': ""{'الحلقات': 37.3223, 'الشروط': 27.7954, 'أنواع البيانات': 39.8131, 'الأساسيات': 39.8131}"", 'project': 44}]"
45,"أكتب برنامج يطلب من المستخدم إعطائه عدد يمثل عدد عناصر مصفوفة إسمها arr و يخزنه في متغير إسمه n.
ملاحظة: عدد عناصر المصفوفة يجب أن يكون أكبر من صفر.
	بعدها ينشئ المصفوفة arr و يحدد أن عدد عناصرها هو العدد الذي أدخله المستخدم.
	بعدها يقوم بإعطاء قيمة عشوائية بين 1 و 10 لكل عنصر فيها.
	في الأخير, سيعرض للمستخدم جميع القيم المخزنة فيها على سطر واحد مع وضع فاصلة بين كل قيمتين و من ثم ناتج جمع جميع العناصر.","
#include <iostream>
#include <cstdlib>
#include <ctime>

int main() {

	// هنا قمنا بجعل الرقم العشوائي يتم توليده بالإعتماد على وقت جهاز المستخدم كنقطة بداية
	// C++ ملاحظة: هذه الطريقة, هي الطريقة المعتمدة في التحضير لتوليد أرقام عشوائية في لغة
	srand((unsigned) time(0));

	int n;
	int s = 0;
	int *arr;

	do
	{
		std::cout << ""Enter array length: "";
		std::cin >> n;
	}
	while (n <= 0);

	arr = new int[n];

	for (int i = 0; i < n; i++)
	{
		arr[i] = (rand() % 10) + 1;
	}

	std::cout << ""\nArray values: "";

	for (int i = 0; i < n; i++)
	{
		std::cout << arr[i];

		if (i < n - 1)
		{
			std::cout << "", "";
		}
	}

	for (int i = 0; i < n; i++)
	{
		s += arr[i];
	}

	std::cout << ""\nSum of all elements: "" << s;

	char end; std::cin >> end;
	return 0;

}
		","
			Enter array length: 10
			Array values: 3, 8, 3, 6, 1, 4, 9, 9, 6, 4
			Sum of all elements: 53
		",في حال تم إدخال الرقم 10 عند التشغيل سنحصل على نتيجة تشبه النتيجة التالية و ليس مثلها لأنه في كل مرة نقوم فيها بتشغيل البرنامج سيتم توليد أرقام عشوائية مختلفة.,,,"[{'difficulty': '66.142', 'project': 45}]","[{'time': '54.321', 'project': 45}]","[{'required_concept_hint': ""{'الحلقات': 37.9282, 'الشروط': 28.5759, 'أنواع البيانات': 40.3825, 'الأساسيات': 40.3825, 'المصفوفات': 30.336}"", 'project': 45}]"
46,"قم بتعريف دالة إسمها DoubleChars, نمرر لها نص عند إستدعاءها فتعيد لنا نسخة من هذا النص كل حرف فيها مكرر مرتين.","
#include <iostream>
#include <string>

std::string doubleChars(std::string text) {

	std::string newText = """";

	for (int i = 0; i < text.length(); i++)
	{
		newText += text[i];
		newText += text[i];
	}

	return newText;

}

int main() {

	std::string text = ""Iron Man"";
	std::string newText = doubleChars(text);

	std::cout << ""Before: "" << text << ""\n"";
	std::cout << ""After:  "" << newText << ""\n"";

	char end; std::cin >> end;
	return 0;

}
		","
Before: Iron Man
After:  IIrroonn  MMaann
		",سنحصل على النتيجة التالية عند التشغيل.,"مثال: إذا قمنا باستخدام الدالة DoubleChars() و تمرير النص ""Iron Man"" فإنها سترجع النص ""IIrroonn  MMaann"".",,"[{'difficulty': '66.289', 'project': 46}]","[{'time': '41.894', 'project': 46}]","[{'required_concept_hint': ""{'الحلقات': 38.5341, 'أنواع البيانات': 40.9516, 'الأساسيات': 40.9516, 'التعامل مع النصوص': 41.2691, 'المصفوفات': 32.055, 'الدوال': 34.6024}"", 'project': 46}]"
47,"أكتب برنامج يطلب من المستخدم إعطائه عدد يمثل عدد عناصر مصفوفة إسمها arr و يخزنه في متغير إسمه n.
ملاحظة: عدد عناصر المصفوفة يجب أن يكون أكبر من صفر.
	بعدها ينشئ المصفوفة arr و يحدد أن عدد عناصرها هو العدد الذي أدخله المستخدم.
	بعدها يطلب من المستخدم إدخال عدد صحيح لكل عنصر فيها.
	بعدها يعرض للمستخدم جميع القيم التي أدخلها بنفس الترتيب.
	في الأخير يقوم بترتيب جميع القيم بشكل عكسي ( مثلاً القيمة الأخيرة تصبح في الأول ) و من ثم يعرض قيم المصفوفة من جديد.","
#include <iostream>

int main() {
	
	int n;
	int * arr;
	int temp;

	do
	{
		std::cout << ""Enter arr length: "";
		std::cin >> n;
	}
	while (n <= 0);

	arr = new int[n];

	for (int i = 0; i < n; i++)
	{
		std::cout << ""Enter arr["" << i << ""]: "";
		std::cin >> arr[i];
	}

	std::cout << ""\nCurrent order\n"";

	for (int i = 0; i < n; i++)
	{
		std::cout << arr[i] << "" "";
	}

	for (int i = 0; i < n / 2; i++)
	{
		temp = arr[i];
		arr[i] = arr[n - 1 - i];
		arr[n - 1 - i] = temp;
	}

	std::cout << ""\n\nAfter reversing the order\n"";

	for (int i = 0; i < n; i++)
	{
		std::cout << arr[i] << "" "";
	}

	std::cout << ""\n"";

	char end; std::cin >> end;
	return 0;

}
		","
Enter arr length: 4
Enter arr[0]: 1
Enter arr[1]: 2
Enter arr[2]: 3
Enter arr[3]: 4
Current order
1 2 3 4 
After reversing the order
4 3 2 1
		",سنحصل على النتيجة التالية في حال تم إدخال نفس القيم التي تم تعليمها باللون الأصفر عند التشغيل.,,,"[{'difficulty': '67.082', 'project': 47}]","[{'time': '56.041', 'project': 47}]","[{'required_concept_hint': ""{'الحلقات': 39.1366, 'أنواع البيانات': 41.5176, 'الأساسيات': 41.5176, 'المصفوفات': 33.7708}"", 'project': 47}]"
48,"أكتب برنامج يطلب من المستخدم إعطائه عدد صحيح أكبر من صفر و خزنه في المتغير n.
	بعدها يقوم بحساب القيمة النهائية التي سيتم تخزينها في المتغيرين s و t.","
#include <iostream>

int main() {

	int n = 0;
	int s = 0;
	int t = 0;
	int f = 1;

	do
	{
		std::cout << ""Enter a number: "";
		std::cin >> n;
	}
	while (n <= 0);

	for (int i = 1; i <= n; i++)
	{
		f *= i;

		if (i % 2 == 1)
		{
			s += f;
		}
		else
		{
			t += f;
		}
	}

	std::cout << ""S = "" << s << ""\n"";
	std::cout << ""T = "" << t;

	char end; std::cin >> end;
	return 0;

}
		","
Enter a number: 4
S = 7
T = 26
		",سنحصل على النتيجة التالية إذا قام المستخدم بإدخال الرقم 4 عند التشغيل.,,https://harmash.com//tutorials/algorithms-and-data-structure/math-operations-test-7/ex-1-solution-using-cpp/521cf6d7-77b0-4bcf-b5f9-06a162479f80_ex-1.PNG,"[{'difficulty': '67.082', 'project': 48}]","[{'time': '48.541', 'project': 48}]","[{'required_concept_hint': ""{'الحلقات': 39.7396, 'الشروط': 29.536, 'أنواع البيانات': 42.0839, 'الأساسيات': 42.0839}"", 'project': 48}]"
49,"أكتب برنامج مهمته رسم الشكل التالي بواسطة الحلقات.
	عند تشغيل البرنامج, يجب أن يطلب من المستخدم إدخال عدد واحد يمثل طول أسطر و أعمدة الشكل الذي سيتم رسمه.
إنتبه: يجب أن يدخل المستخدم عدد أكبر من صفر, لأن عدد الأسطر أو الأعمدة لا يمكن أن يكون صفر أو أقل من صفر.","
#include <iostream>

int main() {

	int n;

	do {
		std::cout << ""Enter square side length: "";
		std::cin >> n;
	}
	while (n <= 0);

	for (int i = 1; i <= n; i++)
	{
		if (i == 1 || i == n)
		{
			for (int j = 1; j <= n; j++)
			{
				std::cout << ""*"";
			}
		}
		else
		{
			std::cout << ""*"";
			for (int k = 1; k <= n - 2; k++)
			{
				std::cout << "" "";
			}
			std::cout << ""*"";
		}
		std::cout << ""\n"";
	}

	char end; std::cin >> end;
	return 0;

}
		","
Enter the number of lines: 10
**********
*        *
*        *
*        *
*        *
*        *
*        *
*        *
*        *
**********
		",سنحصل على النتيجة التالية إذا قام المستخدم بإدخال الرقم 10 عند التشغيل.,"الشكل الذي يظهر لك في النتيجة النهائية عبارة عن مربع لأن عدد النجوم التي تظهر عامودياً يساوي عدد النجوم التي تظهر أفقياً, لكنه لا يظهر لك كذلك بسبب الهامش الإفتراضي الذي يقوم الحاسوب بوضعه بين الأسطر.",https://harmash.com//tutorials/algorithms-and-data-structure/drawing-test-3/ex-4-solution-using-cpp/ec2abc14-3d84-47fc-b8f3-3475c3e35206_ex-4.PNG,"[{'difficulty': '67.750', 'project': 49}]","[{'time': '47.625', 'project': 49}]","[{'required_concept_hint': ""{'الحلقات': 40.3387, 'الشروط': 30.3097, 'أنواع البيانات': 42.6464, 'الأساسيات': 42.6464}"", 'project': 49}]"
50,"أكتب برنامج مهمته رسم الشكل التالي بواسطة الحلقات.
	عند تشغيل البرنامج, يجب أن يطلب من المستخدم إدخال عدد أكبر من صفر يمثل عدد أسطر الشكل الذي سيتم رسمه.","
#include <iostream>

int main() {

	int n;

	do {
		std::cout << ""Enter the number of lines: "";
		std::cin >> n;
	}
	while (n <= 0);

	for (int i = 1; i <= n; i++)
	{
		for (int j = 1; j <= n; j++)
		{
			if (j <= i)
			{
				std::cout << j << "" "";
			}
		}
		std::cout << ""\n"";
	}

	char end; std::cin >> end;
	return 0;

}
		","
Enter the number of lines: 6
1 
1 2 
1 2 3 
1 2 3 4 
1 2 3 4 5 
1 2 3 4 5 6 
		",سنحصل على النتيجة التالية إذا قام المستخدم بإدخال الرقم 6 عند التشغيل.,,https://harmash.com//tutorials/algorithms-and-data-structure/drawing-test-9/ex-3-solution-using-cpp/e293a7f7-2414-41db-ba21-8dfc6845f8bc_ex-3.PNG,"[{'difficulty': '69.035', 'project': 50}]","[{'time': '42.017', 'project': 50}]","[{'required_concept_hint': ""{'الحلقات': 40.9378, 'الشروط': 31.0832, 'أنواع البيانات': 43.2089, 'الأساسيات': 43.2089}"", 'project': 50}]"
51,"أكتب برنامج مهمته رسم الشكل التالي بواسطة الحلقات.
	عند تشغيل البرنامج, يجب أن يطلب من المستخدم إدخال عدد أكبر من صفر يمثل عدد أسطر الشكل الذي سيتم رسمه.","
#include <iostream>

int main() {

	int n;

	do {
		std::cout << ""Enter the number of lines: "";
		std::cin >> n;
	}
	while (n <= 0);

	for (int i = 1; i <= n; i++)
	{
		for (int j = 1; j <= n; j++)
		{
			if (j <= i)
			{
				std::cout << i << "" "";
			}
		}
		std::cout << ""\n"";
	}

	char end; std::cin >> end;
	return 0;

}
		","
Enter the number of lines: 6
1 
2 2 
3 3 3 
4 4 4 4 
5 5 5 5 5 
6 6 6 6 6 6 
		",سنحصل على النتيجة التالية إذا قام المستخدم بإدخال الرقم 6 عند التشغيل.,,https://harmash.com//tutorials/algorithms-and-data-structure/drawing-test-9/ex-4-solution-using-cpp/bd4f53b6-7d83-48d0-9be2-e418470ff813_ex-4.PNG,"[{'difficulty': '69.035', 'project': 51}]","[{'time': '42.017', 'project': 51}]","[{'required_concept_hint': ""{'الحلقات': 41.5398, 'الشروط': 31.8597, 'أنواع البيانات': 43.7742, 'الأساسيات': 43.7742}"", 'project': 51}]"
52,"قم بتعريف دالة إسمها CountOccurrences, عند استدعاءها نمرر لها نصيّن, فترجع عدد صحيح يمثل كم مرة النص الثاني مكرر في النص الأول.
	بعدها قم بتجربة هذه الدالة في البرنامج مع جعل المستخدم هو من يدخل النصيّن.","
#include <iostream>
#include <string>

int CountOccurrences(std::string s1, std::string s2)
{

	int counter = 0;

	for (int i = 0; i < s1.length() - s2.length() + 1; i++)
	{
		if (s1.substr(i, s2.length()) == s2)
		{
			counter++;
		}
	}

	return counter;
}


int main() {

	std::string text;
	std::string keyword;

	std::cout << ""Enter any text: "";
	getline(std::cin, text);

	std::cout << ""Enter word to search occurrences: "";
	getline(std::cin, keyword);

	int result = CountOccurrences(text, keyword);

	std::cout << ""Total occurrences of '"" << keyword << ""' is: "" << result;

	char end; std::cin >> end;
	return 0;

}
		","
Enter any text: I like cats. I have one cat called Lola
Enter word to search occurrences: cat
Total occurrences of 'cat' is: 2
		",سنحصل على النتيجة التالية في حال تم إدخال نفس القيم التي تم تعليمها باللون الأصفر عند التشغيل.,مثال: إذا قمنا باستخدام الدالة CountOccurrences() لمعرفة كم مرة تكررت الكلمة cat في النص I like cats. I have one cat called Lola فإنها سترجع الرقم 2.,,"[{'difficulty': '69.500', 'project': 52}]","[{'time': '48.500', 'project': 52}]","[{'required_concept_hint': ""{'الحلقات': 42.1383, 'الشروط': 32.6326, 'أنواع البيانات': 44.3361, 'الأساسيات': 44.3361, 'التعامل مع النصوص': 47.352, 'الدوال': 37.352}"", 'project': 52}]"
53,"أكتب برنامج مهمته رسم الشكل التالي بواسطة الحلقات.
	عند تشغيل البرنامج, يجب أن يطلب من المستخدم إدخال عدد أسطر الشكل الذي سيتم رسمه.
إنتبه: يجب أن يدخل المستخدم عدد مفرد و أكبر من صفر, لأن عدد الأسطر لا يمكن أن يكون مزدوجاً أو قيمته تساوي صفر أو أقل من صفر.","
#include <iostream>

int main() {

	int n;

	do {
		std::cout << ""Enter the number of lines: "";
		std::cin >> n;
	}
	while (n <= 0);

	for (int i = 1; i <= n; i++)
	{
		if (i <= n / 2)
		{
			for (int k = 1; k < (n / 2) - i + 2; k++)
			{
				std::cout << "" "";
			}

			std::cout << ""*"";
			
			for (int j = 1; j < (i * 2) - 1; j++)
			{
				std::cout << ""*"";
			}
		}
		else
		{
			for (int k = 1; k < i - (n / 2); k++)
			{
				std::cout << "" "";
			}
			
			std::cout << ""*"";

			for (int j = 1; j <= (n * 2) - (i * 2); j++)
			{
				std::cout << ""*"";
			}
		}
		std::cout << ""\n"";
	}

	char end; std::cin >> end;
	return 0;

}
		","
Enter the number of lines: 9
    *
   ***
  *****
 *******
*********
 *******
  *****
   ***
    *
		",سنحصل على النتيجة التالية إذا قام المستخدم بإدخال الرقم 9 عند التشغيل.,,https://harmash.com//tutorials/algorithms-and-data-structure/drawing-test-3/ex-1-solution-using-cpp/89c74957-eb5a-4d32-aafa-6c961a8e29a1_ex-1.PNG,"[{'difficulty': '69.620', 'project': 53}]","[{'time': '53.560', 'project': 53}]","[{'required_concept_hint': ""{'الحلقات': 42.7357, 'الشروط': 33.4045, 'أنواع البيانات': 44.8969, 'الأساسيات': 44.8969}"", 'project': 53}]"
54,"أكتب برنامج يطلب من المستخدم إعطائه عدد صحيح أكبر من صفر و خزنه في المتغير n.
	بعدها يقوم بحساب القيمة النهائية التي سيتم تخزينها في المتغير s.","
#include <iostream>

int main() {

	int n = 0;
	double s = 0;
	double f;
	double p;

	do
	{
		std::cout << ""Enter a number: "";
		std::cin >> n;
	}
	while (n <= 0);

	for (int i = 1; i <= n; i++)
	{
		p = 1;
		for (int j = 1; j <= i; j++)
		{
			p *= i;
		}

		f = 1;
		for (int j = 1; j <= i; j++)
		{
			f *= j;
		}

		s += p / f;
	}

	std::cout << ""S = "" << s;

	char end; std::cin >> end;
	return 0;

}
		","
Enter a number: 4
S = 18.1667
		",سنحصل على النتيجة التالية إذا قام المستخدم بإدخال الرقم 4 عند التشغيل.,,https://harmash.com//tutorials/algorithms-and-data-structure/math-operations-test-8/ex-3-solution-using-cpp/c98d7149-2927-420e-8a6a-976732db2bc3_ex-3.PNG,"[{'difficulty': '70.255', 'project': 54}]","[{'time': '51.377', 'project': 54}]","[{'required_concept_hint': ""{'الحلقات': 43.3306, 'أنواع البيانات': 45.4551, 'الأساسيات': 45.4551}"", 'project': 54}]"
