generalConcepts,question,answers,correctanswer
المصفوفات,"What is the output of the following code?
#include <iostream>
using namespace std;
int main() {
    int i;
    int arr[6] = { 10, 20, 30, 40 };
   // cout<<arr[5];
   for(i=0;i<6;i++)
    cout<<arr[i]<<” “;
    return 0;
}","['10 20 30 40 0 0', '0 0 10 20 30 40', '10 20 30 40 454 343', 'Error']",10 20 30 40 0 0
المصفوفات,"What is the output of the following code?
#include <iostream>
using namespace std;
int main() {
    int c = 1,i,temp,n=3,j;
   int arr[3][3]={11,12,13,14,15,1};
for(i=1;i<n;i++)
{
    for(j = 1;j<n;j++)
    {
        temp = arr[i][j] + c;
        arr[i][j] = arr[j][i];
        arr[j][i] = temp – c;
    } 
}
for(i = 0; i<n;i++)
    for(j = 0;j<n;j++)
        cout<< arr[i][j] <<” “;
    return 0;
}","['11 12 13 14 15 0 0 0 0', '11 12 13 14 15 1 0 0 0', '11 12 13 14 15 0 0 0 1', 'Compiler Error']",11 12 13 14 15 1 0 0 0
المصفوفات,"What is the output of the following code?
#include<bits/stdc++.h>
using namespace std;
int main()
{
int a[][2] = {{1, 2}, {3, 4},{5,6}}; 
cout << sizeof(a); 
return 0;
}","['4*sizeofInt', '5*sizeofint', '6*sizeofInt', 'Compiler Error']",6*sizeofInt
المصفوفات,يعتبر الـ index في الـ array في حد ذاته,"['a character', 'an integer', 'a floating point number', 'a negative number']",an integer
المصفوفات,أي من العبارات التالية ليس تعريف صحيح للـ array,"['bool array1[10]', 'double array2[20,0]', 'char array3[30]', 'double array4[7]']","double array2[20,0]"
المصفوفات,"Which of the following gives the memory address of the first element in array foo, an array with 100 elements?","['foo[0];', 'foo;', '&foo;', 'foo[1];']",foo;
المصفوفات,"What is the output of the following code?
#include <iostream>
#include <array>
#include <string>
using namespace std;
int main()
{
    array<string, 5> students {“Jaish”, “Gunjan”, “Vivaan”,
                                    “Harry” };
    for (int i = 0; i < 4; i++)
        if(i%2!=0)
        cout << students[i] << ” “;
    return 0;
}","['Jaish Harry', 'Gunjan Harry', 'Vivaan Harry', 'Jaish Vivaan']",Gunjan Harry
المصفوفات,"What is the output of the following code?
#include <iostream>
#include <string>
using namespace std;
int main()
{
    string student[4] = { “Harry”, “Ritik”,
                            “Jaish”, “Jackline” };
    for (int i = 0; i < 4; i++)
        if(i%2==0)
        cout << student[i] << ” “;
return 0;
}","['Harry Ritik', 'Harry Jaish', 'Harry Jackline', 'Jaish Jackline']",Harry Jaish
المصفوفات,Which of the following correctly declares an array?,"['int anarray[10];', 'int anarray;', 'anarray{10};', 'array anarray[10];']",int anarray[10];
المصفوفات,Which of the following is a two-dimensional array?,"['array anarray[20][20];', 'int anarray[20][20];', 'int array[20, 20];', 'char array[20];']",int anarray[20][20];
المصفوفات,أي مما يلي يعد تعريفًا صالحًا لـ array في C ++؟,"['int nums[10];', 'int array[0];', 'void numbers[5];', 'float $$payments[10];']",int nums[10];
المصفوفات,"What is the output of the following code?
#include<bits/stdc++.h>
using namespace std;
int main()
{
int a[][2] = {{1, 2}, {3, 4},{5,6}}; 
cout<<a;
return 0;
}","['Memory address of the first element in the array.', 'Compiler Error', 'Memory address of the last element in the array.', 'Value of first element in the array.']",Memory address of the first element in the array.
المصفوفات,"What happens in this code?
for (int index = 0; index < 5; index++)    cin >> numbers[index];","['index ضع البيانات في مصفوفة مكونة من خمسة عناصر تسمى', 'numbers ضع البيانات في مصفوفة مكونة من أربعة عناصر تسمى', 'numbers ضع البيانات في مصفوفة مكونة من خمسة عناصر تسمى', 'index ضع البيانات في مصفوفة مكونة من أربعة عناصر تسمى']",numbers ضع البيانات في مصفوفة مكونة من خمسة عناصر تسمى
المصفوفات,"أين يتم تخزين 77 في المصفوفة scores؟int scores[]={83, 62, 77, 97}","['scores[0]', 'scores[1]', 'scores[2]', 'scores[3]']",scores[2]
المصفوفات,"  What is the output of the following code?
#include<bits/stdc++.h>
using namespace std;
    int main()
    {
        char str[7]=”DATA”;
        cout << str[2]<<” “<<str;
        return 0;
    }","['T', 'T DATA', 'A', 'A DATA']",T DATA
المصفوفات,يمكن للمصفوفة تخزين مجموعة من القيم ، ولكن يجب أن تكون القيم,"['من نفس نوع البيانات', 'من اي نوع البيانات', 'constants', 'integers']",من نفس نوع البيانات
المصفوفات,"What is the value of the element at arr[3][0] in the following program?
#include<iostream>
using namespace std;
int main()
{
    int arr[5][2] = {{0,1}, {2,3}, {4,5}};
    for (int i = 0; i < 5; i++)
    {
        for (int j = 0; j < 2; j++)
        {
            cout << “Element at arr[” << i
                << “][” << j << “]: “;
            cout << arr[i][j]<<endl;
        }
    }
    return 0;
}","['', '5', '4', '3']",
أنواع البيانات,"What is the output of the following program?
 #include<iostream>
using namespace std;
main() {
    short unsigned int i = 0;
    cout<<i--;}","['0', '65535', '32767', 'Compile error']",0
أنواع البيانات,What is the size of a boolean variable in C++?,"['1 bit', '2bit', '1byte', '2byte']",1 bit
أنواع البيانات,"What is the output of the following code snippet?
#include<iostream>
using namespace std;
int main()
{
    cout <<  sizeof(char)<< ” byte” <<” &”;
    cout <<  sizeof(int)<< ” bytes” << endl;
    return 0;
}","['1 byte & 4 bytes', '2 byte & 4 bytes', '1 byte & 8 bytes', '2 byte & 8 bytes']",1 byte & 4 bytes
أنواع البيانات,"What is the output of the following code snippet?
#include<iostream>
using namespace std;
int main()
{
    cout <<sizeof(short int)<< ” bytes” << ” & “;
    cout << sizeof(long int)<< ” bytes” << endl;
       return 0;
}","['2 bytes & 4 bytes', '2 bytes & 8 bytes', '4 bytes & 8 bytes', '4 bytes & 4 bytes']",2 bytes & 8 bytes
أنواع البيانات,"In the following C++ program, what is the size of a float and a pointer variable?
#include <iostream>
using namespace std;
int main() 
{
    int  x ;
    int  *ip;        
    float a=0;
    cout <<  ” ” << sizeof(ip)<<“bytes”<<endl;
    cout << sizeof(a)<<“bytes”<< endl;
    return 0;
}","['4 bytes and 8 bytes', '4 bytes and 4 bytes', '4 bytes and 2 bytes', '8 bytes and 2 bytes']",4 bytes and 8 bytes
أنواع البيانات,"What is the output of the following code snippet?
#include<iostream>
using namespace std;
int main()
{
            cout << sizeof(float)<< ” bytes,” <<endl;
            cout << sizeof(double)<< ” bytes &” << endl;
            cout << sizeof(wchar_t)<< ” bytes” <<endl;
            return 0;
}","['4 bytes, 4bytes & 4 bytes', '4 bytes , 8 bytes & 8 bytes', '4 bytes, 4 bytes & 4 bytes', '4 bytes, 8 bytes & 4 bytes']","4 bytes, 8 bytes & 4 bytes"
أنواع البيانات,What is void?,"['A statement that returns a value', ""A statement that doesn't return a value"", 'A function that return a value', ""A function that doesn't return a value""]",A function that doesn't return a value
أنواع البيانات,What data type would be most appropriate for representing logical values?,"['Boolean', 'Integer', 'Float', 'Character']",Boolean
أنواع البيانات,Which of the following doesn’t come under the signed Modifiers in C++?,"['Integer', 'Char', 'Double', 'Long-Prefix']",Double
أنواع البيانات,"What is the type of the temp variable?
var temp = 14.55;","['Double', 'Boolean', 'Integer', 'String']",Double
أنواع البيانات,What is a default return type of any function C++? (If return type is not specified?),"['void', 'float', 'int', 'long']",int
أنواع البيانات,Which of the following is not a Primary data type of cpp?,"['Integer', 'Float', 'Character', 'Pointer']",Pointer
أنواع البيانات,أي مما يلي لا يعتبر نوع بيانات في C ++؟,"['Real', 'Double', 'Float', 'Int']",Real
أنواع البيانات,ما نوع البيانات الذي يمكن استخدامه لعمل حرف عريض (hold a wide character) في C ++؟,"['unsigned char', 'int', 'wchar_t', 'none of the above']",wchar_t
